,,,7.3.3.5 Manage Time and Attendance,,,,Ability to record time worked at various levels of granularity,L4,,,,
,,,,7.3.3.5.1 Manage Agreement or Time Sheets,,,,L5,,,,
,,,,7.3.3.5.2 Report Time,,,,L5,,,,
8.0 Manage Legal & Corporate Affairs ,,,,,,,"Capabilities related to legal practice in an enterprise for handling litigations, setting policies, protecting intellectual property, safeguarding the enterprise from monetary damages etc",L1,,,,
,8.1 Manage Corporate and Regulatory Affairs ,,,,,,,L2,,,,
,,8.1.1 Manage Government & Industry Affairs,,,,,,L3,,,,
,,,8.1.1.1 Manage Citizenship,,,,,L4,,,,
,,,8.1.1.2 Manage Internet Safety,,,,,L4,,,,
,,,8.1.1.3 Manage Standards Advocacy,,,,,L4,,,,
,,,8.1.1.4 Manage Non-Compete,,,,,L4,,,,
,,,8.1.1.5 Manage BAR Association,,,,,L4,,,,
,,8.1.2 Manage Public Relegations and Outreach,,,,,,L3,,,,
,,,8.1.2.1 Manage Diversity,,,,,L4,,,,
,,,8.1.2.2 Manage Pro-Bono,,,,,L4,,,,
,,8.1.3 Manage Corporate Affairs,,,,,,L3,,,,
,,,8.1.3.1 Manage Board of Directors Legal,,,,,L4,,,,
,,,8.1.3.2 Manage Legal Strategic Planning,,,,,L4,,,,
,,,8.1.3.3 Manage Subsidiary Legal Issues,,,,,L4,,,,
,,8.1.4 Manage State Government Affairs,,,,,,L3,,,,
,,8.1.5 Manage Regulatory Affairs and Public Policy,,,,,,L3,,,,
,,8.1.6 Manage Community Affairs ,,,,,,L3,,,,
,,,8.1.6.1 Manage Political Action Committee (PAC),,,,,L4,,,,
,,8.1.7 Manage Federal Affairs,,,,,,L3,,,,
,8.2 Manage Intellectual Property & Licensing,,,,,,,L2,,,,
,,8.2.1 Develop Patent Portfolio,,,,,,L3,,,,
,,,8.2.1.1 Plan Patent ,,,,,L4,,,,
,,,8.2.1.2 Manage Patent Counseling,,,,,L4,,,,
,,,8.2.1.3 Complete Patent Filing,,,,,L4,,,,
,,,,8.2.1.3.1 IP Contract Drafting,,,,L5,,,,
,,,8.2.1.4 Manage Patent Procurement,,,,,L4,,,,
,,,8.2.1.5 Analyze Patent,,,,,L4,,,,
,,,,8.2.1.5.1 IP Valuation,,,,L5,,,,
,,,,8.2.1.5.2 Patent Conflicts,,,,L5,,,,
,,,,8.2.1.5.3 Portfolio Analysis,,,,L5,,,,
,,,,8.2.1.5.4 Offensive Review,,,,L5,,,,
,,8.2.2 Manage Copyright,,,,,,L3,,,,
,,,8.2.2.1 Create Copyright Compliancy Policy,,,,,L4,,,,
,,,,8.2.2.1.1 Analyze Copyright,,,,L5,,,,
,,,,8.2.2.1.2 Register Copyright,,,,L5,,,,
,,,,8.2.2.1.3 Manage Copyright Notification,,,,L5,,,,
,,,,8.2.2.1.4 Manage Copyright Protection,,,,L5,,,,
,,,,8.2.2.1.5 Manage Copyright Transfer,,,,L5,,,,
,,8.2.3 Manage Trademarks,,,,,,L3,,,,
,,,8.2.3.1 Manage Trademark Clearance,,,,,L4,,,,
,,,8.2.3.2 Apply For Trademark ,,,,,L4,,,,
,,,8.2.3.3 Manage Trademark Conflict,,,,,L4,,,,
,,,8.2.3.4 License Trademark ,,,,,L4,,,,
,,,8.2.3.5 Audit Trademark,,,,,L4,,,,
,,8.2.4 Mange IP Operations,,,,,,L3,,,,
,,,8.2.4.1 Manage IP Contracts,,,,,L4,,,,
,,8.2.5 Manage IP Licensing,,,,,,L3,,,,
,,,8.2.5.1 Develop New Venture Business ,,,,,L4,,,,
,,,8.2.5.2 Mange Open API's,,,,,L4,,,,
,,,8.2.5.3 Manage Existing Venture IP Licensing,,,,,L4,,,,
,,,,8.2.5.3.1 Technology Licensing,,,,L5,,,,
,,,,8.2.5.3.2 Cross Licensing,,,,L5,,,,
,,,8.2.5.4 Manage Licensing Legal Support,,,,,L4,,,,
,,,8.2.5.5 Manage Patent Cross Licensing,,,,,L4,,,,
,,8.2.6 Manage Protocol Licensing,,,,,,L3,,,,
,,8.2.7 Manage IP Acquisitions & Investments,,,,,,L3,,,,
,,,8.2.7.1 Manage IP Acquisitions,,,,,L4,,,,
,,,8.2.7.2 Mange IP Investments,,,,,L4,,,,
,,,8.2.7.3 Conduct Competitive IP Analysis,,,,,L4,,,,
,,8.2.8 Manage IP Policy,,,,,,L3,,,,
,,8.2.9 Manage Marketing/IP Public Relations,,,,,,L3,,,,
,,,8.2.9.1 Manage IP Royalties,,,,,L4,,,,
,,8.2.10 Manage Customer Advocacy,,,,,,L3,,,,
,,,8.2.10.1 Manage Open Source Indemnification Licensing,,,,,L4,,,,
,,8.2.11 Manage Digital Rights,,,,,,L3,,,,
,,8.2.12 Manage Trade Secrets,,,,,,L3,,,,
,,8.2.13 Manage Patent/IP Sales,,,,,,L3,,,,
,,8.2.14 Manage Out-Bound Patent & Technology Licensing,,,,,,L3,,,,
,,8.2.15 Manage Legal Counseling,,,,,,L3,,,,
,,,8.2.15.1 Manage Open Source Merger/Acquisition Issues,,,,,L4,,,,
,,,8.2.15.2 Manage Use Of Community Based Open Source Code By Microsoft Developers,,,,,L4,,,,
,,8.2.16 Industry Standards Engagement Counsel,,,,,,L3,,,,
,8.3 Manage Legal Corporate Services ,,,,,,,L2,,,,
,,8.3.1 Manage Mergers & Acquisition Legal Acquisitions & Investments Counseling,,,,,,L3,,,,
,,,8.3.1.1 Negotiate Acquisitions,,,,,L4,,,,
,,8.3.2 Manage Legal Policy,,,,,,L3,,,,
,,,8.3.2.1 Manage Vendor Contracting Policy,,,,,L4,,,,
,,,8.3.2.2 Manage Procurement Policy,,,,,L4,,,,
,,,8.3.2.3 Manage HR Legal Support,,,,,L4,,,,
,,8.3.3 Manage Corporate Investment Legal Counsel,,,,,,L3,,,,
,,8.3.4 Manage Credit & Collections Legal Support,,,,,,L3,,,,
,,8.3.5 Manage Real Estate Legal Issues,,,,,,L3,,,,
,,8.3.6 Manage Securities Legal Issues,,,,,,L3,,,,
,,8.3.7 Manage Budget/Forecast Reporting Legal Policies,,,,,,L3,,,,
,8.4 Manage Litigation,,,,,,,L2,,,,
,,8.4.1 Manage Bankruptcy cases,,,,,,L3,,,,
,,8.4.2 Manage Litigation Readiness,,,,,,L3,,,,
,,,8.4.2.1 Manage Vulnerability Assessment,,,,,L4,,,,
,,,8.4.2.2 Manage Legal Risk,,,,,L4,,,,
,,,8.4.2.3 Manage Crisis Planning,,,,,L4,,,,
,,,8.4.2.4 Complete Opinion Research,,,,,L4,,,,
,,8.4.3 Litigation Reponses Management,,,,,,L3,,,,
,,,8.4.3.1 Manage Anti-Trust Allegations,,,,,L4,,,,
,,,8.4.3.2 Manage Civil Litigation,,,,,L4,,,,
,,,,8.4.3.2.1 Manage Data/Information Security,,,,L5,,,,
,,,,8.4.3.2.2 Manage Labor Disputes,,,,L5,,,,
,,,,8.4.3.2.3 Mange Data Security Breaches,,,,L5,,,,
,,,,8.4.3.2.4 Manage Privacy,,,,L5,,,,
,,,,8.4.3.2.5 Share Information,,,,L5,,,,
,,,8.4.3.3 Manage Criminal Litigation,,,,,L4,,,,
,,,8.4.3.4 Manage Damaging Legislation Or Regulation,,,,,L4,,,,
,,,8.4.3.5 Manage Government/Congressional Investigations,,,,,L4,,,,
,,,,8.4.3.5.1 Manage US Government,,,,L5,,,,
,,,,8.4.3.5.2 Manage International Issues,,,,L5,,,,
,,,,,Manage European Union,,,n/a,,,,
,,,8.4.3.6 Manage Employment/Layoffs,,,,,L4,,,,
,,,8.4.3.7 Manage Merger/Acquisitions Challenges,,,,,L4,,,,
,,,,8.4.3.7.1 Manage Pre-merger Review,,,,L5,,,,
,,,,8.4.3.7.2 Manage Post-Merger Review,,,,L5,,,,
,,,8.4.3.8 Manage Product Liability/product Recalls,,,,,L4,,,,
,,,"8.4.3.9 Manage Race, Sex, Age Discrimination Claims",,,,,L4,,,,
,,,8.4.3.10 Manage Litigation Reponses Planning,,,,,L4,,,,
,,,8.4.3.11 Manage Professional Negligence,,,,,L4,,,,
,,,8.4.3.12 Manage Mediation,,,,,L4,,,,
,,,8.4.3.13 Manage Property Disputes,,,,,L4,,,,
,,,,8.4.3.13.1 Manage Landlord/Tenant Disputes,,,,L5,,,,
,,,,8.4.3.13.2 Manage Real Estate Operations,,,,L5,,,,
,,,,8.4.3.13.3 Manage Zoning & Land Use,,,,L5,,,,
,,,8.4.3.14 Manage Partnership/Corporate Disputes,,,,,L4,,,,
,,8.4.4 Manage Litigation Communication,,,,,,L3,,,,
,,,8.4.4.1 Communicate Case Status,,,,,L4,,,,
,,,8.4.4.2 Manage PR/Media Impact,,,,,L4,,,,
,,8.4.5 Support Discovery Requirements,,,,,,L3,,,,
,,,8.4.5.1 Manage Corporate Document Retention Policy,,,,,L4,,,,
,,,8.4.5.2 Manage Poilation Expert Testimony,,,,,L4,,,,
,,8.4.6 Manage IP Litigation,,,,,,L3,,,,
,,,8.4.6.1 Litigate Patent,,,,,L4,,,,
,,,8.4.6.2 Litigate Trademark,,,,,L4,,,,
,,,8.4.6.3 Litigate Trade Secret,,,,,L4,,,,
,,,8.4.6.4 Litigate Digital Rights,,,,,L4,,,,
,,,8.4.6.5 Litigate Copyright,,,,,L4,,,,
,,8.4.7 Manage Calendar & Docket,,,,,,L3,,,,
,8.5 Manage Compliance and Risk,,,,,,,L2,,,,
,,8.5.1 Manage Affirmative Action,,,,,,L3,,,,
,,8.5.2 Manage Training,,,,,,L3,,,,
,,8.5.3 Manage Immigration,,,,,,L3,,,,
,,,8.5.3.1 Manage US Immigration,,,,,L4,,,,
,,,8.5.3.2 Manage Global Immigration,,,,,L4,,,,
,,,8.5.3.3 Manage Visa/Work Permit Processing,,,,,L4,,,,
,,8.5.4 Manage Product Development Legal Requirements,,,,,,L3,,,,
,,8.5.5 Manage Anti-Trust,,,,,,L3,,,,
,,8.5.6 Manage Anti-Piracy,,,,,,L3,,,,
,,8.5.7 Manage Data/Information Compliance,,,,,,L3,,,,
,8.6 Manage Contracts,,,,,,,L2,,,,
,,8.6.1 Initiate & Prepare Contracts,,,,,,L3,,,,
,,8.6.2 Negotiate Contracts,,,,,,L3,,,,
,,,8.6.2.1 Manage Discounts,,,,,L4,,,,
,,,8.6.2.2 Manage Partner Commitment,,,,,L4,,,,
,,,8.6.2.3 Communicate changes with legal department,,,,,L4,,,,
,,,8.6.2.4 Evaluate account plans/strategies to inform concessions,,,,,L4,,,,
,,8.6.3 Finalize Contracts,,,,,,L3,,,,
,,8.6.4 Amend Contracts,,,,,,L3,,,,
,,,8.6.4.1 Amend Terms & Conditions,,,,,L4,,,,
,,,8.6.4.2 Add or Remove Parties,,,,,L4,,,,
,,8.6.5 Renew Contracts,,,,,,L3,,,,
,,,8.6.5.1 Extend Dates,,,,,L4,,,,
,,8.6.6 Manage Contract Execution & Storage,,,,,,L3,,,,
,8.7 Manage Business Group Legal Counsel,,,,,,,L2,,,,
,,8.7.1 Manage Product Group Legal Counsel,,,,,,L3,,,,
,,,8.7.1.1 Manage Product Launch Legal Support,,,,,L4,,,,
,,,8.7.1.2 Manage Product Group Business Strategy,,,,,L4,,,,
,,,8.7.1.3 Manage Product Group Legal Review,,,,,L4,,,,
,,,8.7.1.4 Manage Advertising Lay Counsel,,,,,L4,,,,
,,,8.7.1.5 Develop Engineering Guidelines,,,,,L4,,,,
,,,8.7.1.6 Manage Product Development Legal Support,,,,,L4,,,,
,,,8.7.1.7 Manage Product/Services Marketing Support,,,,,L4,,,,
,,,8.7.1.8 Manage Product/Service  Distribution Legal Support,,,,,L4,,,,
,,,,8.7.1.8.1 Develop License Model,,,,L5,,,,
,,,,,Manage Volume Licensing,,,n/a,,,,
,,,,,Manage Retail Licensing,,,n/a,,,,
,,,,,Manage ISV Licensing,,,n/a,,,,
,,,,,Manage Online Services Licensing,,,n/a,,,,
,,,8.7.1.9 Develop Product Warranties,,,,,L4,,,,
,,,8.7.1.10 Conduct Legal Research & Analysis,,,,,L4,,,,
,,8.7.2 Manage Sales Counsel,,,,,,L3,,,,
,,,8.7.2.1 Manage Business Development Legal Support,,,,,L4,,,,
,,,8.7.2.2 Manage Business Planning Legal Counsel,,,,,L4,,,,
,,,8.7.2.3 Manage Competitive Advantage Analysis,,,,,L4,,,,
,,,8.7.2.4 Conduct Legal Research & Analysis,,,,,L4,,,,
,,,8.7.2.5 Conduct Geo-Location Analysis,,,,,L4,,,,
,,8.7.3 Manage Microsoft Research Counsel,,,,,,L3,,,,
,,,8.7.3.1 Manage Legal Research & Analysis,,,,,L4,,,,
,,8.7.4 Manage Advertising Law Counsel,,,,,,L3,,,,
,,8.7.5 Human Resources Compliance,,,,,,L3,,,,
,,,8.7.5.1 Staffing Compliance Enforcement,,,,,L4,,,,
,,,8.7.5.2 Benefits Compliance Enforcement,,,,,L4,,,,
,,,8.7.5.3 Privacy Compliance Enforcement,,,,,L4,,,,
,,,8.7.5.4 Statutory Compliance Enforcement,,,,,L4,,,,
9.0 Manage IT Service & Operations ,,,,,,,,L1,,,,
,9.1 Manage Infrastructure and Security ,,,,,,Capabilities for Managing and Administering Various Infrastructure components,L2,,,,
,,9.1.1 Administer Network,,,,,,L3,,,,
,,,9.1.1.1 Administer Wide Area Networks,,,,,L4,,,,
,,,9.1.1.2 Administer Local Area Networks,,,,,L4,,,,
,,,9.1.1.3 Administer virtual private networks,,,,,L4,,,,
,,,9.1.1.4 Monitor Network components including hardware,,,,,L4,,,,
,,,9.1.1.5 Maintain Network components including hardware,,,,,L4,,,,
,,,9.1.1.6 Troubleshoot Network components including hardware,,,,,L4,,,,
,,,9.1.1.7 Expose Services to the Internet,,,,,L4,,,,
,,,9.1.1.8 Administer Wireless Network,,,,,L4,,,,
,,,9.1.1.9 Administer Voice Network,,,,,L4,,,,
,,,9.1.1.10 Manage Firewall,,,,,L4,,,,
,,9.1.2 Administer Directory Services,,,,,,L3,,,,
,,,9.1.2.1 Manage Directory Enabled Applications,,,,,L4,,,,
,,,9.1.2.2 Manage Metadirectories,,,,,L4,,,,
,,,9.1.2.3 Enterprise Directory Management,,,,,L4,,,,
,,,9.1.2.4 Locate Resources,,,,,L4,,,,
,,,9.1.2.5 Manage Provisioning,,,,,L4,,,,
,,,9.1.2.6 User Account Management,,,,,L4,,,,
,,9.1.3 Manage Security,,,,,,L3,,,,
,,,9.1.3.1 Manage Authentication,,,,,L4,,,,
,,,9.1.3.2 Manage Security Authorization,,,,,L4,,,,
,,,9.1.3.3 Manage Infrastructure Access,,,,,L4,,,,
,,,9.1.3.4 Manage Facility Access,,,,,L4,,,,
,,,9.1.3.5 Perform Rights Management,,,,,L4,,,,
,,,9.1.3.6 Manage Crypto,,,,,L4,,,,
,,,9.1.3.7 Manage  Intrusion Detection & Protection,,,,,L4,,,,
,,,9.1.3.8 Manage Certificate,,,,,L4,,,,
,,,9.1.3.9 Manage Audit,,,,,L4,,,,
,,,9.1.3.10 Perform Identity & Policy Management,,,,,L4,,,,
,,9.1.4 Service Orientated IT Infrastructure,,,,,,L3,,,,
,,9.1.5 Manage Middleware,,,,,,L3,,,,
,,9.1.6 Manage Databases,,,,,,L3,,,,
,,,9.1.6.1 Data Development,,,,,L4,,,,
,,,,"9.1.6.1.1 Data Modeling, Analysis and Design",,,,L5,,,,
,,,,,5.6.3.1.1 Analyze Information Requirements ,,,n/a,,,,
,,,,,5.6.3.1.2 Develop & Maintain Conceptual Data Models,,,n/a,,,,
,,,,,5.6.3.1.3 Develop & Maintain Logical Data Models,,,n/a,,,,
,,,,,5.6.3.1.4 Develop & Maintain Physical Data Models,,,n/a,,,,
,,,,9.1.6.1.2 Detailed Data Design,,,,L5,,,,
,,,,,5.6.3.2.1 Design Physical Databases,,,n/a,,,,
,,,,,5.6.3.2.2 Design Related Data Structures,,,n/a,,,,
,,,,,5.6.3.2.3 Design Information Products,,,n/a,,,,
,,,,,5.6.3.2.4 Design Data Access Services ,,,n/a,,,,
,,,,9.1.6.1.3 Data Model & Design Quality Management,,,,L5,,,,
,,,,,5.6.3.3.1 Develop Data Modeling & Database Design Standards,,,n/a,,,,
,,,,,5.6.3.3.2 Review Data Model & Database Design Quality,,,n/a,,,,
,,,,,5.6.3.3.3 Manage Data Model Versioning and Integration,,,n/a,,,,
,,,,9.1.6.1.4 Data Implementation,,,,L5,,,,
,,,,,5.6.3.4.1 Create & Maintain Development & Test Databases,,,n/a,,,,
,,,,,5.6.3.4.2 Create & Maintain Test Data,,,n/a,,,,
,,,,,5.6.3.4.3 Migrate & Convert Data,,,n/a,,,,
,,,,,5.6.3.4.4 Build & Test Information Products,,,n/a,,,,
,,,,,5.6.3.4.5 Build & Test Data Access Services,,,n/a,,,,
,,,,,5.6.3.4.6 Build & Test Data Integration Services,,,n/a,,,,
,,,,,5.6.3.4.7 Validate Information Requirements,,,n/a,,,,
,,,,,5.6.3.4.8 Prepare for Data Deployment,,,n/a,,,,
,,,9.1.6.2 Database Operations Management,,,,,L4,,,,
,,,,9.1.6.2.1 Database Support,,,,L5,,,,
,,,,,5.6.4.1.1 Implement & Maintain Database Environments,,,n/a,,,,
,,,,,5.6.4.1.2 Implement & Control Database Changes,,,n/a,,,,
,,,,,5.6.4.1.3 Acquire Externally Sourced Data ,,,n/a,,,,
,,,,,5.6.4.1.4 Plan for Data Recovery,,,n/a,,,,
,,,,,5.6.4.1.5 Backup & Recovery Data ,,,n/a,,,,
,,,,,5.6.4.1.6 Set Database Performance Service Levels,,,n/a,,,,
,,,,,5.6.4.1.7 Monitor & Tune Database Performance,,,n/a,,,,
,,,,,5.6.4.1.8 Plan for Data Retention,,,n/a,,,,
,,,,,"5.6.4.1.9 Archive, Retrieve and Purge Data",,,n/a,,,,
,,,,,5.6.4.1.10 Manage Specialized Databases,,,n/a,,,,
,,,,9.1.6.2.2 Data Technology Management,,,,L5,,,,
,,,,,5.6.4.2.1 Understand Data Technology Requirements,,,n/a,,,,
,,,,,5.6.4.2.2 Define Data Technology Architecture ,,,n/a,,,,
,,,,,5.6.4.2.3 Evaluate Data Technology,,,n/a,,,,
,,,,,5.6.4.2.4 Install & Administer Data Technology,,,n/a,,,,
,,,,,5.6.4.2.5 Inventory & Track Data Technology Licenses,,,n/a,,,,
,,,,,5.6.4.2.6 Support Data Technology Usage & Issues,,,n/a,,,,
,,,9.1.6.3 Data Security Management,,,,,L4,,,,
,,,,"9.1.6.3.1 Understand Data Privacy, Confidentiality & Security Needs",,,,L5,,,,
,,,,9.1.6.3.2 Define Data Privacy & Confidentiality Policies & Standards,,,,L5,,,,
,,,,9.1.6.3.3 Define Password Standards & Procedures,,,,L5,,,,
,,,,9.1.6.3.4 Design & Implement Data Security Controls,,,,L5,,,,
,,,,"9.1.6.3.5 Manage Users, Passwords & Group Membership",,,,L5,,,,
,,,,9.1.6.3.6 Manage Data Access Views,,,,L5,,,,
,,,,9.1.6.3.7 Manage Data Access Permissions,,,,L5,,,,
,,,,9.1.6.3.8 Monitor User Authentication & Access Behavior,,,,L5,,,,
,,,,9.1.6.3.9 Classify Information Confidentiality,,,,L5,,,,
,,,,9.1.6.3.10 Audit Data Security,,,,L5,,,,
,,,9.1.6.4 Data Warehousing & Business Intelligence Management,,,,,L4,,,,
,,,,9.1.6.4.1 Understand Business Intelligence Data Needs,,,,L5,,,,
,,,,9.1.6.4.2 Define & Maintain the DW/BI Architecture ,,,,L5,,,,
,,,,9.1.6.4.3 Implement DW & Data Marts,,,,L5,,,,
,,,,9.1.6.4.4 Implement Business Intelligence Tools & User Interfaces,,,,L5,,,,
,,,,9.1.6.4.5 Implement Enterprise Reporting,,,,L5,,,,
,,,,9.1.6.4.6 Implement Management Dashboards & Scorecards,,,,L5,,,,
,,,,9.1.6.4.7 Implement Analytic Applications,,,,L5,,,,
,,,,9.1.6.4.8 Train Business Professionals,,,,L5,,,,
,,,,9.1.6.4.9 Replicate & Transform Data for Business Intelligence,,,,L5,,,,
,,,,9.1.6.4.10 Monitor & Tune Data Warehousing Processes,,,,L5,,,,
,,,,9.1.6.4.11 Support Business Intelligence Activity,,,,L5,,,,
,,,,9.1.6.4.12 Monitor & Tune BI Activity and Performance,,,,L5,,,,
,,,,9.1.6.4.13 Knowledge Worker BI Activities,,,,L5,,,,
,,,,,5.6.8.13.1 Perform Ad Hoc Query & Reporting,,,n/a,,,,
,,,,,5.6.8.13.2 Perform Multidimensional Analysis,,,n/a,,,,
,,,,,5.6.8.13.3 Perform Statistical Analysis,,,n/a,,,,
,,,,,5.6.8.13.4 Perform Data Mining,,,n/a,,,,
,,,,,"5.6.8.13.5 Model ""What-if"" scenarios",,,n/a,,,,
,,,,,5.6.8.13.6 Monitor and Analyze Business Performance,,,n/a,,,,
,,,9.1.6.5 Manage Data Stores,,,,,L4,,,,
,,,9.1.6.6 Manage Data Archival,,,,,L4,,,,
,,9.1.7 Manage Transactions ,,,,,,L3,,,,
,,9.1.8 Manage Storage ,,,,,,L3,,,,
,,,9.1.8.1 Storage Area Network Administration,,,,,L4,,,,
,,,9.1.8.2 Data Backup & Recovery,,,,,L4,,,,
,,9.1.9 Integrate Partner Tools ,,,,,,L3,,,,
,,9.1.10 Integrate Vendor Tools ,,,,,,L3,,,,
,9.2 Manage Communication and Collaboration Services,,,,,,"Capabilities for managing various communication and collaboration services such as email, telephone messaging systems, document management systems etc",L2,,,,
,,9.2.1 Manage Communication Services ,,,,,,L3,,,,
,,,9.2.1.1 Manage Messaging Services,,,,,L4,,,,
